id,answered,concerned_teacher,how_teacher,have_teacher,respect_teacher,disrespectful_people,understand_people,energy_school,fights_students,support_adults,fair_rules,online_bully,respect_students,behavior_students,school_violence,belong_school,excited_teacher,adult_help
stu-e1-159,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-160,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-161,y,Slightly concerned,Once in a while,Somewhat excited,Slightly respectful,Almost never,Understand quite a bit,Very positive,Almost always,No support at all,Very fair,Not at all likely,A tremendous amount of respect,Neither helps nor hurts my learning,Almost never,Completely belong,Once in a while,Quite difficult
stu-e1-162,y,Slightly concerned,Sometimes,Somewhat excited,Somewhat respectful,Sometimes,Understand somewhat,Slightly positive,Once in a while,Quite a bit of support,Slightly fair,Quite likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Frequently,Somewhat difficult
stu-e1-163,y,Extremely concerned,Frequently,Extremely excited,Somewhat respectful,Almost never,Understand somewhat,Neither negative or positive,Sometimes,Quite a bit of support,Slightly unfair,Slightly likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Frequently,Not at all difficult
stu-e1-164,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-165,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-166,y,Extremely concerned,Almost always,Somewhat excited,Somewhat respectful,Almost never,Understand quite a bit,Very positive,Once in a while,A tremendous amount of support,Very fair,Not at all likely,A little bit of respect,Hurts my learning a tremendous amount,Sometimes,Belong quite a bit,Frequently,Slightly difficult
stu-e1-167,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-168,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-169,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-170,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-171,y,Quite concerned,Almost always,Somewhat excited,Quite respectful,Frequently,Understand a little,Very negative,Almost always,No support at all,Very unfair,Extremely likely,Some respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Sometimes,Extremely difficult
stu-e1-172,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-173,y,Quite concerned,Frequently,Quite excited,Somewhat respectful,Frequently,Understand somewhat,Slightly negative,Almost always,Some support,Slightly unfair,Somewhat likely,Some respect,Hurts my learning a little bit,Almost always,Do not belong at all,Sometimes,Quite difficult
stu-e1-174,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-175,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-176,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-177,y,Somewhat concerned,Sometimes,Slightly excited,Slightly respectful,Almost always,Understand somewhat,Slightly negative,Sometimes,A tremendous amount of support,Slightly unfair,Somewhat likely,A little bit of respect,Hurts my learning a tremendous amount,Frequently,Do not belong at all,Almost never,Slightly difficult
stu-e1-178,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-179,y,Extremely concerned,Almost always,Extremely excited,Extremely respectful,Frequently,Understand a little,Neither negative or positive,Sometimes,A tremendous amount of support,Neither unfair or fair,Extremely likely,A little bit of respect,Hurts my learning some,Once in a while,Completely belong,Frequently,Slightly difficult
stu-e1-180,y,Not at all concerned,Once in a while,Not at all excited,Not at all respectful,Sometimes,Understand quite a bit,Neither negative or positive,Frequently,No support at all,Slightly unfair,Somewhat likely,Some respect,Helps my learning a little bit,Almost always,Do not belong at all,Once in a while,Quite difficult
stu-e1-181,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-182,y,Not at all concerned,Once in a while,Not at all excited,Not at all respectful,Once in a while,Understand quite a bit,Somewhat positive,Frequently,Quite a bit of support,Slightly fair,Somewhat likely,Quite a bit of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Sometimes,Somewhat difficult
stu-e1-183,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-184,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Almost always,Understand somewhat,Neither negative or positive,Almost always,A little bit of support,Slightly fair,Slightly likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Almost always,Extremely difficult
stu-e1-185,y,Not at all concerned,Almost never,Somewhat excited,Slightly respectful,Almost never,Understand quite a bit,Very positive,Frequently,Some support,Neither unfair or fair,Somewhat likely,Quite a bit of respect,Helps my learning some,Frequently,Belong a little bit,Once in a while,Slightly difficult
stu-e1-186,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-187,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-188,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-189,y,Extremely concerned,Sometimes,Quite excited,Quite respectful,Sometimes,Understand a little,Somewhat negative,Sometimes,A tremendous amount of support,Somewhat unfair,Somewhat likely,Quite a bit of respect,Helps my learning some,Almost always,Do not belong at all,Almost always,Not at all difficult
stu-e1-190,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-191,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-192,y,Slightly concerned,Almost never,Slightly excited,Slightly respectful,Sometimes,Understand quite a bit,Neither negative or positive,Once in a while,Quite a bit of support,Slightly fair,Not at all likely,A little bit of respect,Hurts my learning a tremendous amount,Almost never,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-193,y,Slightly concerned,Almost never,Slightly excited,Not at all respectful,Frequently,Do not understand at all,Very negative,Sometimes,No support at all,Slightly unfair,Quite likely,Quite a bit of respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Once in a while,Somewhat difficult
stu-e1-194,y,Somewhat concerned,Frequently,Quite excited,Extremely respectful,Almost always,Do not understand at all,Slightly negative,Once in a while,A little bit of support,Very unfair,Quite likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Almost always,Somewhat difficult
stu-e1-195,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-196,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-197,y,Somewhat concerned,Once in a while,Not at all excited,Somewhat respectful,Almost always,Understand somewhat,Neither negative or positive,Almost never,A tremendous amount of support,Slightly unfair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong somewhat,Frequently,Somewhat difficult
stu-e1-198,y,Slightly concerned,Once in a while,Slightly excited,Slightly respectful,Almost always,Do not understand at all,Neither negative or positive,Once in a while,A little bit of support,Slightly unfair,Extremely likely,A little bit of respect,Hurts my learning a little bit,Almost always,Belong a little bit,Almost never,Extremely difficult
stu-e1-199,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-200,y,Slightly concerned,Sometimes,Slightly excited,Not at all respectful,Sometimes,Understand somewhat,Slightly negative,Almost always,Some support,Slightly unfair,Quite likely,A tremendous amount of respect,Helps my learning a tremendous amount,Almost always,Do not belong at all,Sometimes,Slightly difficult
stu-e1-201,y,Somewhat concerned,Once in a while,Not at all excited,Slightly respectful,Sometimes,Understand somewhat,Slightly positive,Frequently,A tremendous amount of support,Somewhat fair,Quite likely,Some respect,Helps my learning a little bit,Almost never,Completely belong,Almost never,Slightly difficult
stu-e1-202,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-203,y,Not at all concerned,Once in a while,Not at all excited,Slightly respectful,Almost always,Understand somewhat,Slightly negative,Frequently,A little bit of support,Somewhat unfair,Somewhat likely,A tremendous amount of respect,Helps my learning a tremendous amount,Almost always,Belong a little bit,Once in a while,Somewhat difficult
stu-e1-204,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-205,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-206,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-207,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-208,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-209,y,Quite concerned,Almost always,Somewhat excited,Slightly respectful,Sometimes,Understand a little,Very negative,Sometimes,A tremendous amount of support,Somewhat unfair,Quite likely,Some respect,Helps my learning a little bit,Almost always,Do not belong at all,Once in a while,Somewhat difficult
stu-e1-210,y,Extremely concerned,Frequently,Somewhat excited,Somewhat respectful,Sometimes,Understand somewhat,Slightly positive,Once in a while,A tremendous amount of support,Somewhat fair,Somewhat likely,A little bit of respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Frequently,Not at all difficult
stu-e1-211,y,Somewhat concerned,Frequently,Quite excited,Extremely respectful,Sometimes,Understand somewhat,Slightly negative,Sometimes,No support at all,Neither unfair or fair,Somewhat likely,Quite a bit of respect,Helps my learning some,Sometimes,Belong somewhat,Frequently,Somewhat difficult
stu-e1-212,y,Quite concerned,Almost always,Extremely excited,Quite respectful,Almost always,Do not understand at all,Very negative,Almost never,Quite a bit of support,Neither unfair or fair,Extremely likely,A little bit of respect,Hurts my learning some,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e1-213,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-214,y,Quite concerned,Frequently,Quite excited,Quite respectful,Once in a while,Understand quite a bit,Very positive,Once in a while,Quite a bit of support,Neither unfair or fair,Somewhat likely,No respect at all,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Almost always,Slightly difficult
stu-e1-215,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-216,y,Slightly concerned,Sometimes,Quite excited,Somewhat respectful,Once in a while,Understand somewhat,Neither negative or positive,Once in a while,No support at all,Neither unfair or fair,Somewhat likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Completely belong,Once in a while,Extremely difficult
stu-e1-217,y,Extremely concerned,Frequently,Somewhat excited,Somewhat respectful,Almost never,Understand somewhat,Neither negative or positive,Sometimes,Some support,Slightly unfair,Slightly likely,Some respect,Helps my learning a little bit,Frequently,Belong somewhat,Frequently,Slightly difficult
stu-e1-218,y,Somewhat concerned,Frequently,Quite excited,Somewhat respectful,Sometimes,Understand a little,Very negative,Sometimes,Quite a bit of support,Slightly unfair,Extremely likely,A little bit of respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Once in a while,Slightly difficult
stu-e1-219,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-220,y,Not at all concerned,Sometimes,Slightly excited,Slightly respectful,Sometimes,Understand quite a bit,Somewhat positive,Almost never,Quite a bit of support,Neither unfair or fair,Slightly likely,Some respect,Hurts my learning a little bit,Frequently,Do not belong at all,Sometimes,Not at all difficult
stu-e1-221,y,Not at all concerned,Once in a while,Slightly excited,Slightly respectful,Once in a while,Completely understand,Very positive,Almost always,No support at all,Neither unfair or fair,Slightly likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Once in a while,Somewhat difficult
stu-e1-222,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-223,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-224,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-225,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-226,y,Somewhat concerned,Frequently,Quite excited,Quite respectful,Almost always,Understand a little,Somewhat negative,Once in a while,Some support,Slightly unfair,Somewhat likely,No respect at all,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Sometimes,Quite difficult
stu-e1-227,y,Extremely concerned,Frequently,Extremely excited,Somewhat respectful,Once in a while,Understand somewhat,Slightly positive,Almost never,No support at all,Neither unfair or fair,Somewhat likely,No respect at all,Hurts my learning some,Once in a while,Belong quite a bit,Once in a while,Extremely difficult
stu-e1-228,y,Extremely concerned,Sometimes,Somewhat excited,Somewhat respectful,Sometimes,Understand somewhat,Slightly negative,Sometimes,Some support,Neither unfair or fair,Quite likely,Some respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Frequently,Quite difficult
stu-e1-229,y,Extremely concerned,Almost always,Somewhat excited,Slightly respectful,Frequently,Understand somewhat,Slightly negative,Almost never,Some support,Somewhat unfair,Quite likely,Some respect,Hurts my learning a little bit,Frequently,Do not belong at all,Almost never,Slightly difficult
stu-e1-230,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-231,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-232,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-233,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-234,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-235,y,Extremely concerned,Sometimes,Quite excited,Somewhat respectful,Frequently,Understand a little,Slightly negative,Almost always,Some support,Somewhat unfair,Quite likely,A tremendous amount of respect,Helps my learning some,Almost always,Belong somewhat,Once in a while,Quite difficult
stu-e1-236,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-237,y,Slightly concerned,Sometimes,Somewhat excited,Slightly respectful,Almost never,Understand quite a bit,Neither negative or positive,Frequently,Quite a bit of support,Neither unfair or fair,Not at all likely,Some respect,Helps my learning a little bit,Once in a while,Belong quite a bit,Once in a while,Somewhat difficult
stu-e1-238,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-239,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-240,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-241,y,Somewhat concerned,Almost always,Extremely excited,Somewhat respectful,Sometimes,Understand quite a bit,Neither negative or positive,Almost always,No support at all,Slightly unfair,Not at all likely,A tremendous amount of respect,Helps my learning a tremendous amount,Almost always,Do not belong at all,Sometimes,Somewhat difficult
stu-e1-242,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-243,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-244,y,Extremely concerned,Almost always,Quite excited,Somewhat respectful,Almost always,Understand somewhat,Neither negative or positive,Once in a while,A little bit of support,Slightly fair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Belong somewhat,Sometimes,Quite difficult
stu-e1-245,y,Extremely concerned,Sometimes,Somewhat excited,Slightly respectful,Almost always,Do not understand at all,Slightly negative,Sometimes,No support at all,Neither unfair or fair,Extremely likely,A little bit of respect,Hurts my learning a tremendous amount,Once in a while,Belong quite a bit,Almost never,Somewhat difficult
stu-e1-246,n,Extremely concerned,Almost always,Quite excited,Somewhat respectful,Frequently,Understand a little,Somewhat negative,Sometimes,No support at all,Somewhat unfair,Extremely likely,Some respect,Hurts my learning a little bit,Frequently,Do not belong at all,Once in a while,Somewhat difficult
stu-e1-247,y,Slightly concerned,Once in a while,Not at all excited,Not at all respectful,Once in a while,Understand somewhat,Slightly negative,Almost always,Some support,Somewhat unfair,Somewhat likely,Some respect,Helps my learning a little bit,Frequently,Belong a little bit,Almost never,Quite difficult
stu-e1-248,n,Slightly concerned,Almost never,Somewhat excited,Somewhat respectful,Almost never,Completely understand,Somewhat positive,Once in a while,Quite a bit of support,Slightly fair,Somewhat likely,No respect at all,Hurts my learning a tremendous amount,Almost never,Completely belong,Once in a while,Not at all difficult
stu-e1-249,n,Quite concerned,Sometimes,Somewhat excited,Somewhat respectful,Sometimes,Understand somewhat,Neither negative or positive,Frequently,Some support,Slightly fair,Somewhat likely,Some respect,Helps my learning a little bit,Once in a while,Completely belong,Frequently,Quite difficult
stu-e1-250,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-251,y,Slightly concerned,Almost never,Somewhat excited,Somewhat respectful,Frequently,Do not understand at all,Very negative,Frequently,No support at all,Slightly unfair,Somewhat likely,Some respect,Helps my learning a little bit,Sometimes,Belong somewhat,Frequently,Somewhat difficult
stu-e1-252,n,Quite concerned,Frequently,Somewhat excited,Slightly respectful,Almost never,Understand somewhat,Neither negative or positive,Frequently,No support at all,Slightly unfair,Somewhat likely,Quite a bit of respect,Helps my learning some,Frequently,Do not belong at all,Sometimes,Quite difficult
stu-e1-253,n,Extremely concerned,Frequently,Somewhat excited,Quite respectful,Sometimes,Understand somewhat,Slightly negative,Sometimes,Quite a bit of support,Very unfair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Almost always,Belong somewhat,Almost always,Somewhat difficult
stu-e1-254,n,Extremely concerned,Frequently,Quite excited,Extremely respectful,Almost always,Do not understand at all,Very negative,Sometimes,Quite a bit of support,Neither unfair or fair,Quite likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Almost always,Not at all difficult
stu-e1-255,y,Extremely concerned,Almost always,Somewhat excited,Quite respectful,Frequently,Understand somewhat,Slightly negative,Sometimes,Some support,Somewhat unfair,Somewhat likely,Quite a bit of respect,Helps my learning a tremendous amount,Frequently,Belong somewhat,Frequently,Slightly difficult
stu-e1-256,y,Somewhat concerned,Once in a while,Not at all excited,Slightly respectful,Almost never,Understand quite a bit,Slightly positive,Frequently,A tremendous amount of support,Very fair,Not at all likely,A tremendous amount of respect,Helps my learning a little bit,Almost never,Belong somewhat,Almost never,Slightly difficult
stu-e1-257,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-258,n,Somewhat concerned,Sometimes,Slightly excited,Somewhat respectful,Almost never,Understand somewhat,Slightly negative,Once in a while,Quite a bit of support,Somewhat unfair,Quite likely,Some respect,Hurts my learning a little bit,Sometimes,Belong quite a bit,Once in a while,Slightly difficult
stu-e1-259,n,Somewhat concerned,Frequently,Extremely excited,Somewhat respectful,Sometimes,Understand a little,Neither negative or positive,Once in a while,A little bit of support,Neither unfair or fair,Extremely likely,Some respect,Helps my learning a little bit,Sometimes,Belong somewhat,Frequently,Quite difficult
stu-e1-260,n,Somewhat concerned,Once in a while,Slightly excited,Not at all respectful,Frequently,Understand somewhat,Slightly positive,Once in a while,No support at all,Neither unfair or fair,Slightly likely,Some respect,Hurts my learning a little bit,Sometimes,Belong a little bit,Sometimes,Somewhat difficult
stu-e1-261,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-262,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-263,y,Somewhat concerned,Sometimes,Slightly excited,Not at all respectful,Almost always,Understand somewhat,Neither negative or positive,Once in a while,A tremendous amount of support,Slightly fair,Somewhat likely,A little bit of respect,Neither helps nor hurts my learning,Once in a while,Belong somewhat,Almost never,Slightly difficult
stu-e1-264,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-265,n,Slightly concerned,Sometimes,Quite excited,Extremely respectful,Almost never,Completely understand,Somewhat positive,Frequently,Quite a bit of support,Very fair,Slightly likely,Some respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Frequently,Slightly difficult
stu-e1-266,n,Slightly concerned,Once in a while,Not at all excited,Somewhat respectful,Sometimes,Understand somewhat,Slightly positive,Sometimes,A tremendous amount of support,Neither unfair or fair,Slightly likely,Quite a bit of respect,Helps my learning a tremendous amount,Once in a while,Belong somewhat,Sometimes,Slightly difficult
stu-e1-267,y,Not at all concerned,Almost never,Somewhat excited,Somewhat respectful,Once in a while,Understand somewhat,Slightly positive,Sometimes,A tremendous amount of support,Very fair,Somewhat likely,Quite a bit of respect,Neither helps nor hurts my learning,Almost never,Completely belong,Frequently,Somewhat difficult
stu-e1-268,y,Somewhat concerned,Sometimes,Somewhat excited,Somewhat respectful,Once in a while,Completely understand,Very positive,Almost always,Quite a bit of support,Somewhat fair,Not at all likely,A tremendous amount of respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Frequently,Not at all difficult
stu-e1-269,y,Not at all concerned,Almost never,Somewhat excited,Somewhat respectful,Once in a while,Understand quite a bit,Very positive,Frequently,A little bit of support,Neither unfair or fair,Not at all likely,Quite a bit of respect,Helps my learning a tremendous amount,Sometimes,Belong somewhat,Frequently,Extremely difficult
stu-e1-270,n,Slightly concerned,Once in a while,Somewhat excited,Quite respectful,Frequently,Understand somewhat,Slightly negative,Sometimes,Some support,Very unfair,Quite likely,A little bit of respect,Hurts my learning a tremendous amount,Frequently,Do not belong at all,Sometimes,Quite difficult
stu-e1-271,n,Slightly concerned,Almost never,Slightly excited,Somewhat respectful,Almost always,Understand a little,Slightly negative,Once in a while,Some support,Neither unfair or fair,Somewhat likely,Some respect,Hurts my learning a little bit,Frequently,Belong somewhat,Frequently,Somewhat difficult
stu-e1-272,y,Quite concerned,Almost always,Extremely excited,Extremely respectful,Sometimes,Understand somewhat,Slightly positive,Almost always,A little bit of support,Slightly fair,Quite likely,A tremendous amount of respect,Neither helps nor hurts my learning,Once in a while,Belong somewhat,Sometimes,Quite difficult
stu-e1-273,n,Not at all concerned,Sometimes,Somewhat excited,Slightly respectful,Once in a while,Understand somewhat,Neither negative or positive,Once in a while,No support at all,Slightly unfair,Somewhat likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Almost never,Extremely difficult
stu-e1-274,n,Extremely concerned,Frequently,Extremely excited,Extremely respectful,Once in a while,Understand somewhat,Slightly positive,Almost never,A little bit of support,Very fair,Quite likely,A little bit of respect,Neither helps nor hurts my learning,Almost never,Belong somewhat,Sometimes,Quite difficult
stu-e1-275,y,Slightly concerned,Sometimes,Quite excited,Quite respectful,Once in a while,Understand somewhat,Neither negative or positive,Almost always,A little bit of support,Neither unfair or fair,Slightly likely,A tremendous amount of respect,Helps my learning some,Once in a while,Belong quite a bit,Sometimes,Extremely difficult
stu-e1-276,n,Extremely concerned,Frequently,Quite excited,Extremely respectful,Once in a while,Understand somewhat,Slightly positive,Almost always,A tremendous amount of support,Somewhat fair,Somewhat likely,Quite a bit of respect,Helps my learning some,Once in a while,Belong somewhat,Almost always,Not at all difficult
stu-e1-277,n,Extremely concerned,Frequently,Extremely excited,Quite respectful,Once in a while,Understand somewhat,Slightly negative,Sometimes,No support at all,Somewhat unfair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Almost always,Belong a little bit,Almost always,Extremely difficult
stu-e1-278,y,Slightly concerned,Almost never,Slightly excited,Somewhat respectful,Once in a while,Completely understand,Somewhat positive,Sometimes,A tremendous amount of support,Very fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Almost never,Belong quite a bit,Once in a while,Slightly difficult
stu-e1-279,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-280,y,Quite concerned,Frequently,Extremely excited,Somewhat respectful,Almost never,Completely understand,Very positive,Frequently,Quite a bit of support,Neither unfair or fair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Frequently,Do not belong at all,Once in a while,Somewhat difficult
stu-e1-281,y,Not at all concerned,Almost never,Slightly excited,Not at all respectful,Once in a while,Understand somewhat,Slightly positive,Frequently,Some support,Slightly fair,Slightly likely,Some respect,Helps my learning a little bit,Sometimes,Belong quite a bit,Sometimes,Quite difficult
stu-e1-282,y,Extremely concerned,Almost always,Quite excited,Extremely respectful,Frequently,Understand a little,Very negative,Almost never,A little bit of support,Neither unfair or fair,Extremely likely,A little bit of respect,Hurts my learning a little bit,Once in a while,Completely belong,Sometimes,Extremely difficult
stu-e1-283,y,Quite concerned,Almost always,Extremely excited,Extremely respectful,Once in a while,Completely understand,Neither negative or positive,Almost never,No support at all,Slightly unfair,Somewhat likely,Some respect,Neither helps nor hurts my learning,Almost always,Belong somewhat,Sometimes,Extremely difficult
stu-e1-284,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-285,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-286,y,Not at all concerned,Sometimes,Quite excited,Quite respectful,Almost never,Understand somewhat,Slightly positive,Almost always,Some support,Slightly fair,Somewhat likely,A tremendous amount of respect,Helps my learning a little bit,Almost never,Completely belong,Frequently,Somewhat difficult
stu-e1-287,y,Extremely concerned,Almost always,Somewhat excited,Somewhat respectful,Frequently,Understand a little,Neither negative or positive,Almost never,A little bit of support,Neither unfair or fair,Quite likely,A little bit of respect,Hurts my learning a little bit,Once in a while,Belong quite a bit,Once in a while,Quite difficult
stu-e1-288,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-289,y,Not at all concerned,Once in a while,Not at all excited,Not at all respectful,Frequently,Understand somewhat,Neither negative or positive,Once in a while,Quite a bit of support,Slightly fair,Slightly likely,Some respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Once in a while,Slightly difficult
stu-e1-290,y,Somewhat concerned,Sometimes,Somewhat excited,Slightly respectful,Sometimes,Understand a little,Neither negative or positive,Almost always,A little bit of support,Slightly fair,Extremely likely,A tremendous amount of respect,Neither helps nor hurts my learning,Once in a while,Completely belong,Sometimes,Quite difficult
stu-e1-291,y,Extremely concerned,Frequently,Somewhat excited,Slightly respectful,Almost always,Understand a little,Slightly negative,Almost never,A tremendous amount of support,Somewhat unfair,Extremely likely,A little bit of respect,Hurts my learning some,Sometimes,Belong somewhat,Almost never,Slightly difficult
stu-e1-292,y,Extremely concerned,Frequently,Somewhat excited,Quite respectful,Once in a while,Understand somewhat,Slightly negative,Almost never,A tremendous amount of support,Slightly unfair,Slightly likely,A little bit of respect,Neither helps nor hurts my learning,Sometimes,Belong a little bit,Almost always,Slightly difficult
stu-e1-293,n,Somewhat concerned,Frequently,Somewhat excited,Quite respectful,Sometimes,Understand a little,Slightly negative,Frequently,A little bit of support,Neither unfair or fair,Extremely likely,Quite a bit of respect,Neither helps nor hurts my learning,Sometimes,Belong somewhat,Frequently,Quite difficult
stu-e1-294,n,Slightly concerned,Almost never,Not at all excited,Somewhat respectful,Almost never,Understand quite a bit,Neither negative or positive,Frequently,A tremendous amount of support,Slightly fair,Somewhat likely,Some respect,Hurts my learning a little bit,Once in a while,Belong quite a bit,Frequently,Slightly difficult
stu-e1-295,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-296,y,Somewhat concerned,Once in a while,Not at all excited,Somewhat respectful,Sometimes,Understand somewhat,Slightly negative,Frequently,A little bit of support,Slightly unfair,Quite likely,Quite a bit of respect,Helps my learning a little bit,Sometimes,Belong somewhat,Sometimes,Quite difficult
stu-e1-297,y,Not at all concerned,Sometimes,Quite excited,Somewhat respectful,Almost never,Understand quite a bit,Slightly positive,Frequently,Some support,Somewhat fair,Not at all likely,Some respect,Helps my learning a little bit,Almost never,Belong somewhat,Once in a while,Somewhat difficult
stu-e1-298,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-299,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-300,n,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
stu-e1-301,n,Quite concerned,Frequently,Quite excited,Quite respectful,Sometimes,Understand somewhat,Slightly negative,Almost always,A little bit of support,Slightly unfair,Slightly likely,A tremendous amount of respect,Neither helps nor hurts my learning,Sometimes,Belong quite a bit,Frequently,Quite difficult
